MARCA_BENEFICIO;TIPO_CUPON;CODIGO_CUPON;ID_CATEGORIA_BENEFICIO;FECHA_REGISTRO;FECHA_VENCIMIENTO;DESCRIPCION_CUPON;URL_LOGO;TITULO;DESCRIPCION_2;TEXTO_BOTON;URL_BOTON;URL_VIDEO
AUTOBAHNCHILE;9;SIN_CUPON;1;2021-01-01 00:00:00;2021-12-31 00:00:00;EN FORUM, TU SEGURIDAD SIEMPRE ES PRIMERO;;EN FORUM, TU SEGURIDAD SIEMPRE ES PRIMERO; -Ingresa al link de servicios. -Elige el servicio que necesites. -Al finaliza tu compra utiliza el código entregado por Forum.;Ingresa aquí;;
SMARTCARWASH;5;SIN_CUPON;2;2021-01-01 00:00:00;2021-12-31 00:00:00;EN KM FORUM TUS LAVADOS NO ENSUCIARÁN EL MUNDO;;EN KM FORUM TUS LAVADOS NO ENSUCIARÁN EL MUNDO; -Ingresa a www.smartcarwash.cl -Realiza la reserva del servicio que necesites. -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento.;Reserva aqui;https://smartcarwash.cl/;
PROWASH;10;SIN_CUPON;2;2021-01-01 00:00:00;2021-12-31 00:00:00;CON KM FORUM TU AUTO ESTÁ LIBRE DE SUCIEDAD Y TÚ DE PREOCUPACIONES;;CON KM FORUM TU AUTO ESTÁ LIBRE DE SUCIEDAD Y TÚ DE PREOCUPACIONES; -Elige la sucursal que más te acomode. -Identificate con tu Rut al momento de pagar.;Sucursales Prowash;http://prowash.cl/sucursales/;
WESMARTPARK;6;SIN_CUPON;3;2021-01-01 00:00:00;2021-12-31 00:00:00;CON KM FORUM, DÓNDE ESTACIONAR YA NO ES PROBLEMA (Válido para RM);;CON KM FORUM, DÓNDE ESTACIONAR YA NO ES PROBLEMA; -Descarga la app WesmartPark y regístrate. -Al realizar tu registro ingresa el código entregado por Forum. -¡Compra un Stickertag en OxxO y listo! Encuentra tu estacionamiento ideal. (Válido para región Metropolitana);;;
WESMARTPARK;7;SIN_CUPON;3;2021-01-01 00:00:00;2021-12-31 00:00:00;CON KM FORUM, DÓNDE ESTACIONAR YA NO ES PROBLEMA(Válido para Regiones);;CON KM FORUM, DÓNDE ESTACIONAR YA NO ES PROBLEMA; -Descarga la app WesmartPark y regístrate. -Al realizar tu registro ingresa el código entregado por Forum. -¡Compra un Stickertag en OxxO y listo! Encuentra tu estacionamiento ideal.  (Válido para Regiones);;;
AUTOPARK;2;BBBB11110000;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110001;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110002;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110003;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110004;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
